car,model,body part,shop1 (eqbal),shop2(haraj),shop3 
sonata,2023,car boot,900,900,2494.76
sonata,2023,car hood,800,932,3031.72
sonata,2023,driver door(f/r),1000,1000,2717.87
sonata,2023,fender (f/l),400,400,1514.66
sonata,2023,fender (f/r),400,400,1514.66
sonata,2023,fender (r/l),400,400,3218.47
sonata,2023,fender (r/r),400,400,3218.47
sonata,2023,front bumper,977.5,650,1024.29
sonata,2023,headlight (l),800,2851,"3,205"
sonata,2023,headlight (r),800,2851,"3,205"
sonata,2023,passenger door (f/l),1000,1000,2717.87
sonata,2023,passenger door (r/l),900,900,2877.89
sonata,2023,passenger door (r/r),900,900,2877.89
sonata,2023,rear bumper,1300,1300,612.02
sonata,2023,rear light (l),500,500,1869.12
sonata,2023,rear light (r),500,500,1869.12
sonata,2023,side bumper(l),null,null,1031.93
sonata,2023,side bumper(r),null,null,1031.93
sonata,2024,car boot,1000,1500,2651.97
sonata,2024,car hood,1300,2000,3461
sonata,2024,driver door(f/r),1300,1500,3079.24
sonata,2024,fender (f/l),1000,1100,2146.62
sonata,2024,fender (f/r),1000,1100,2146.62
sonata,2024,fender (r/l),1500,1100,3382.59
sonata,2024,fender (r/r),1500,1100,3382.59
sonata,2024,front bumper,1800,1800,984.32
sonata,2024,headlight (l),600,580,3205
sonata,2024,headlight (r),600,580,3205
sonata,2024,passenger door (f/l),1300,1500,3079.24
sonata,2024,passenger door (r/l),1200,1500,2963.27
sonata,2024,passenger door (r/r),1200,1500,2963.27
sonata,2024,rear bumper,1000,1000,681.88
sonata,2024,rear light (l),1800,800,1869.12
sonata,2024,rear light (r),1800,800,1869.12
sonata,2024,side bumper(l),null,null,1031.93
sonata,2024,side bumper(r),null,null,1031.93
accent,2018,car boot,894.36, 894.36,"1,184.01"
accent,2018,car hood,436, 625,1060.38
accent,2018,driver door(f/r),"1,127.00", 1270,"1,702.90"
accent,2018,fender (f/l),213.1, 260,350.64
accent,2018,fender (f/r),213.1, 169 ,350.64
accent,2018,fender (r/l),163.51, 163.51,988.73
accent,2018,fender (r/r),163.51,163.51,988.73
accent,2018,front bumper,141.7, 299,455.48
accent,2018,headlight (l),307.11, 739,"1,059.00"
accent,2018,headlight (r),181.76, 478,"1,059.00"
accent,2018,passenger door (f/l),1220, 1080,1702.9
accent,2018,passenger door (r/l),1179, 1179,"1,702.90"
accent,2018,passenger door (r/r),689.43, 1024,1702.9
accent,2018,rear bumper,207.1, 299,387.07
accent,2018,rear light (l),162.96, 264,365.04
accent,2018,rear light (r),141.7, 262,365.04
accent,2018,side bumper(l),null,null,171.9
accent,2018,side bumper(r),null,null,171.9
accent,2019,car boot,894.36, 894.36,1184.01
accent,2019,car hood,436,625,944.55
accent,2019,driver door(f/r),"1,127.00", 1270,1702.9
accent,2019,fender (f/l),213.1, 260,350.64
accent,2019,fender (f/r),213.1, 169 ,350.64
accent,2019,fender (r/l),163.51,163.51,988.73
accent,2019,fender (r/r),163.51,163.51,988.73
accent,2019,front bumper,141.7, 299,455.48
accent,2019,headlight (l),307.11, 739,1948
accent,2019,headlight (r),181.76, 478,1948
accent,2019,passenger door (f/l),"1,236.00", 1080,1702.9
accent,2019,passenger door (r/l),1179, 1179,1702.9
accent,2019,passenger door (r/r),689.43, 1024,1702.9
accent,2019,rear bumper,207.1, 299,387.07
accent,2019,rear light (l),162.96, 264,365.04
accent,2019,rear light (r),141.7, 262,365.04
accent,2019,side bumper(l),null,null,171.9
accent,2019,side bumper(r),null,null,171.9
accent,2020,car boot,894.36, 894.36,1184.01
accent,2020,car hood,625, 625,"1,070.08"
accent,2020,driver door(f/r),1127,1270,1702.9
accent,2020,fender (f/l),345,450,350.64
accent,2020,fender (f/r),345,450,350.64
accent,2020,fender (r/l),1390,1330,988.73
accent,2020,fender (r/r),1390,1330,988.73
accent,2020,front bumper,261.6, 299,632.82
accent,2020,headlight (l),359.71, 739,1948
accent,2020,headlight (r),359.66, 262,1948
accent,2020,passenger door (f/l),1220, 1080,1702.9
accent,2020,passenger door (r/l),"1,193.50", 1179,1702.9
accent,2020,passenger door (r/r),1024, 1024,1702.9
accent,2020,rear bumper,300.84, 299,640.18
accent,2020,rear light (l),162.96,290,1133
accent,2020,rear light (r),141.7,288,1133
accent,2020,side bumper(l),null,null,111.7
accent,2020,side bumper(r),null,null,111.7
accent,2021,car boot,1270,1350,1184.01
accent,2021,car hood,625, 717.31,1070.08
accent,2021,driver door(f/r),"1,575.64"," 1,575.64 ",1702.9
accent,2021,fender (f/l),375,340,350.64
accent,2021,fender (f/r),375,340,350.64
accent,2021,fender (r/l),1470,1480,988.73
accent,2021,fender (r/r),1470,1480,988.73
accent,2021,front bumper,261.6, 299,632.82
accent,2021,headlight (l),359.71, 359.71,1948
accent,2021,headlight (r),359.66,359.66,1948
accent,2021,passenger door (f/l),1575.64,1575.64,1702.9
accent,2021,passenger door (r/l),1024,1024,1702.9
accent,2021,passenger door (r/r),1024,1024,1702.9
accent,2021,rear bumper,300.84, 632.50 ,640.18
